[Mar 5 20:48:49] 
[Mar 5 20:48:49] ==DUPLICATOR INSTALLER BOOTSTRAP v1.5.15==
[Mar 5 20:48:49] ----------------------------------------------------
[Mar 5 20:48:49] Installer bootstrap start
[Mar 5 20:48:49] Ready to extract the installer
[Mar 5 20:48:49] Checking permission of destination folder
[Mar 5 20:48:49] ZipArchive exists so using that
[Mar 5 20:48:49] Successfully opened archive file.
[Mar 5 20:48:49] Extracting all files from archive within dup-installer
[Mar 5 20:48:49] Success: dup-installer/dup-database__[HASH].sql >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/vendor/select2/js/i18n/pl.js >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/vendor/select2/js/i18n/cs.js >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/vendor/select2/js/i18n/en.js >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/vendor/select2/js/i18n/ja.js >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/vendor/select2/js/i18n/hu.js >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/vendor/select2/js/i18n/de.js >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/vendor/select2/js/i18n/hr.js >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/vendor/select2/js/i18n/sk.js >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/vendor/select2/js/i18n/hy.js >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/vendor/select2/js/i18n/fi.js >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/vendor/select2/js/i18n/lv.js >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/vendor/select2/js/i18n/af.js >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/vendor/select2/js/i18n/ms.js >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/vendor/select2/js/i18n/hsb.js >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/vendor/select2/js/i18n/gl.js >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/vendor/select2/js/i18n/tk.js >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/vendor/select2/js/i18n/ps.js >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/vendor/select2/js/i18n/hi.js >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/vendor/select2/js/i18n/tr.js >>> /home/dn072025/dynex.com.ua/www
